Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,4.627143,4.650714,4.471428,4.520714,3.906528,172998000
2005-01-04,4.556428,4.676429,4.497857,4.567143,3.946648,274202600
2005-01-05,4.604286,4.660714,4.575000,4.607143,3.981214,170108400
2005-01-06,4.619286,4.636428,4.523571,4.610714,3.984299,176388800
2005-01-07,4.642857,4.973571,4.625000,4.946429,4.274403,556862600
2005-01-10,4.987857,5.050000,4.848571,4.925714,4.256503,431327400
2005-01-11,4.875000,4.939286,4.581429,4.611429,3.984917,652906800
2005-01-12,4.675000,4.707143,4.521429,4.675714,4.040469,479925600
2005-01-13,5.265000,5.315714,4.980714,4.985714,4.308352,791179200
2005-01-14,5.017857,5.122857,4.942143,5.014286,4.333043,442685600
2005-01-18,4.989286,5.050000,4.839286,5.046429,4.360816,251615000
2005-01-19,5.035000,5.104286,4.982143,4.991428,4.313290,187973800
2005-01-20,4.975000,5.090714,4.962143,5.032857,4.349091,228730600
2005-01-21,5.093572,5.114286,5.000000,5.035000,4.350942,227833200
2005-01-24,5.070000,5.127143,5.039286,5.054286,4.367608,210407400
2005-01-25,5.097857,5.202857,5.067143,5.146429,4.447231,242307800
2005-01-26,5.190000,5.196429,5.087143,5.160714,4.459575,184874200
2005-01-27,5.154286,5.208571,5.110714,5.188571,4.483649,124056800
2005-01-28,5.187143,5.284286,5.174286,5.284286,4.566359,200403000
2005-01-31,5.327143,5.563571,5.322143,5.492857,4.746594,420274400
2005-02-01,5.503572,5.555000,5.470000,5.537857,4.785480,169598800
2005-02-02,5.567857,5.707857,5.549286,5.687857,4.915102,255015600
2005-02-03,5.650000,5.673572,5.523571,5.557857,4.802763,182912800
2005-02-04,5.562143,5.637857,5.537857,5.631429,4.866339,140889000
2005-02-07,5.637857,5.667857,5.535714,5.638571,4.872512,131114200
2005-02-08,5.647857,5.812857,5.627857,5.778572,4.993490,222504800
2005-02-09,5.788571,5.856429,5.578571,5.624286,4.860167,297864000
2005-02-10,5.622857,5.662857,5.475714,5.597143,4.836711,273254800
2005-02-11,5.704286,5.840000,5.638571,5.800714,5.012625,300263600
2005-02-14,5.909286,6.056428,5.860714,6.045000,5.223722,317865800
2005-02-15,6.190000,6.362857,6.142857,6.315000,5.457039,578054400
2005-02-16,6.296429,6.442857,6.239286,6.437857,5.563206,409810800
2005-02-17,6.475000,6.491428,6.246428,6.272143,5.420006,379618400
2005-02-18,6.267143,6.275714,6.160714,6.200714,5.358283,290813600
2005-02-22,6.164286,6.307143,6.092143,6.092143,5.264459,304823400
2005-02-23,6.194286,6.317857,6.110714,6.302143,5.445928,336295400
2005-02-24,6.320000,6.379286,6.266428,6.352143,5.489136,379757000
2005-02-25,6.401429,6.422143,6.299286,6.356429,5.492840,228877600
2005-02-28,6.382857,6.448571,6.280000,6.408571,5.537899,162902600
2005-03-01,6.427143,6.444286,6.308571,6.357143,5.493457,117047000
2005-03-02,6.321429,6.412857,6.297143,6.302857,5.446546,114540300
2005-03-03,6.338572,6.344285,5.888571,5.970000,5.158911,352913400
2005-03-04,6.108572,6.144286,5.978571,6.115714,5.284830,189154700
2005-03-07,6.114286,6.178571,6.050000,6.107143,5.277422,112658000
2005-03-08,5.985714,6.022857,5.728571,5.790000,5.003366,255362800
2005-03-09,5.662857,5.754286,5.547143,5.621428,4.857697,330616300
2005-03-10,5.647143,5.751429,5.585714,5.690000,4.916954,194277300
2005-03-11,5.744286,5.798572,5.685714,5.752857,4.971272,158207700
2005-03-14,5.788571,5.827143,5.645714,5.760000,4.977443,151346300
2005-03-15,5.805714,5.877143,5.750000,5.851429,5.056450,127152200
2005-03-16,5.887143,6.044286,5.825714,5.882857,5.083608,174453300
2005-03-17,5.932857,6.125714,5.902857,6.035714,5.215698,200480000
2005-03-18,6.190000,6.205714,6.071429,6.137143,5.303347,235037600
2005-03-21,6.184286,6.281428,6.122857,6.242857,5.394698,135282000
2005-03-22,6.244286,6.280000,6.097143,6.118571,5.287299,137853800
