Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,1.800000,1.800000,1.645714,1.702857,1.702857,11334400
2005-01-04,1.702857,1.707143,1.607143,1.665714,1.665714,17352300
2005-01-05,1.677143,1.677143,1.584286,1.600000,1.600000,12732300
2005-01-06,1.600000,1.624286,1.572857,1.578571,1.578571,8273300
2005-01-07,1.587143,1.650000,1.571429,1.588571,1.588571,7490700
2005-01-10,1.585714,1.677143,1.585714,1.610000,1.610000,9934400
2005-01-11,1.628571,1.634286,1.572857,1.572857,1.572857,7842100
2005-01-12,1.598571,1.614286,1.504286,1.535714,1.535714,12446000
2005-01-13,1.564286,1.578571,1.534286,1.551429,1.551429,9585800
2005-01-14,1.591429,1.634286,1.540000,1.618571,1.618571,14502600
2005-01-18,1.627143,1.638571,1.562857,1.614286,1.614286,10386600
2005-01-19,1.622857,1.622857,1.560000,1.581429,1.581429,12251400
2005-01-20,1.588571,1.604286,1.560000,1.584286,1.584286,7653800
2005-01-21,1.572857,1.605714,1.570000,1.577143,1.577143,4435200
2005-01-24,1.572857,1.622857,1.548571,1.591429,1.591429,21711900
2005-01-25,1.811429,1.874286,1.612857,1.618571,1.618571,66851400
2005-01-26,1.587143,1.641429,1.538571,1.575714,1.575714,18442200
2005-01-27,1.567143,1.630000,1.558571,1.601429,1.601429,6914600
2005-01-28,1.602857,1.671429,1.590000,1.634286,1.634286,9362500
2005-01-31,1.620000,1.654286,1.607143,1.642857,1.642857,6279000
2005-02-01,1.631429,1.664286,1.627143,1.640000,1.640000,4743900
2005-02-02,1.631429,1.650000,1.600000,1.602857,1.602857,4760000
2005-02-03,1.621429,1.712857,1.620000,1.700000,1.700000,18613000
2005-02-04,1.705714,1.742857,1.674286,1.717143,1.717143,7170800
2005-02-07,1.704286,1.727143,1.647143,1.647143,1.647143,7556500
2005-02-08,1.644286,1.680000,1.630000,1.642857,1.642857,6540800
2005-02-09,1.650000,1.660000,1.591429,1.638571,1.638571,5453700
2005-02-10,1.634286,1.657143,1.607143,1.618571,1.618571,6314000
2005-02-11,1.618571,1.627143,1.582857,1.592857,1.592857,8241800
2005-02-14,1.614286,1.621429,1.587143,1.594286,1.594286,4473000
2005-02-15,1.607143,1.642857,1.584286,1.607143,1.607143,7910000
2005-02-16,1.595714,1.605714,1.551429,1.564286,1.564286,5604900
2005-02-17,1.582857,1.582857,1.491429,1.500000,1.500000,8947400
2005-02-18,1.500000,1.535714,1.490000,1.525714,1.525714,9433200
2005-02-22,1.514286,1.535714,1.450000,1.458571,1.458571,6493900
2005-02-23,1.467143,1.482857,1.444286,1.455714,1.455714,4457600
2005-02-24,1.450000,1.495714,1.430000,1.485714,1.485714,5311600
2005-02-25,1.527143,1.582857,1.521429,1.570000,1.570000,29469300
2005-02-28,1.582857,1.585714,1.500000,1.528571,1.528571,6608000
2005-03-01,1.528571,1.564286,1.515714,1.541429,1.541429,4452000
2005-03-02,1.542857,1.578571,1.514286,1.525714,1.525714,14411600
2005-03-03,1.527143,1.555714,1.500000,1.508571,1.508571,7331800
2005-03-04,1.514286,1.544286,1.500000,1.528571,1.528571,5499900
2005-03-07,1.527143,1.545714,1.500000,1.512857,1.512857,4238500
2005-03-08,1.511429,1.517143,1.437143,1.445714,1.445714,7678300
2005-03-09,1.442857,1.462857,1.388571,1.430000,1.430000,9721600
